date,model,mae,rmse,wape,bias,rows
2025-02-15,persistence,15.930208333333333,24.09289746654257,0.19146645299412818,0.3260416666666667,960
2025-02-15,weekly_naive,18.265625,29.21302862879278,0.21953601342130633,0.08645833333333333,960
2025-02-15,boosted_trees,12.832511082158458,19.565402093354624,0.15423498101826802,2.6104394311433103,960
2025-02-16,persistence,14.69375,21.030087573125638,0.24052381195969103,1.4104166666666667,960
2025-02-16,weekly_naive,18.644791666666666,28.16818906142175,0.30519890190461574,2.361458333333333,960
2025-02-16,boosted_trees,11.94514344452479,17.561081593850922,0.19553153113959448,1.8741062431803122,960
2025-02-17,persistence,11.027083333333334,15.938946012832844,0.21108673978065803,0.7333333333333333,960
2025-02-17,weekly_naive,23.64375,37.88067889219164,0.4526021934197408,13.447916666666666,960
2025-02-17,boosted_trees,10.686938450592987,15.922434444112113,0.2045754917760572,5.1576935037682405,960
2025-02-18,persistence,14.096875,21.26977021502583,0.1980448685115537,-0.34270833333333334,960
2025-02-18,weekly_naive,15.327083333333333,25.443728762375482,0.21532787964819342,8.35,960
2025-02-18,boosted_trees,10.490764113341191,16.075079356669978,0.14738316111992072,2.7886378676962464,960
2025-02-19,persistence,14.665625,24.735201804985003,0.1883906707880053,-0.07395833333333333,960
2025-02-19,weekly_naive,13.160416666666666,21.36883439341822,0.16905516973759918,3.8833333333333333,960
2025-02-19,boosted_trees,10.169581482739767,16.344626263592737,0.13063570609275924,3.0197757294584124,960
2025-02-20,persistence,15.239583333333334,23.09112383579457,0.1717478839674583,-1.30625,960
2025-02-20,weekly_naive,14.180208333333333,21.931878434522353,0.15980888205393096,-0.9364583333333333,960
2025-02-20,boosted_trees,11.154443059814689,16.79608011412115,0.12570894823406198,-0.34636241528348183,960
2025-02-21,persistence,15.301041666666666,24.14959885795207,0.1924785428814781,-0.3885416666666667,960
2025-02-21,weekly_naive,18.253125,28.301409711649818,0.22961409945620126,10.838541666666666,960
2025-02-21,boosted_trees,12.16989729708152,18.316966579041775,0.15309049865948055,6.058636838275842,960
2025-02-22,persistence,15.913541666666667,24.84126690945264,0.20145317403803042,-0.2947916666666667,960
2025-02-22,weekly_naive,16.317708333333332,26.502888993466353,0.2065696125748345,4.207291666666666,960
2025-02-22,boosted_trees,12.133540954543301,18.2797024191724,0.15360127800671955,2.639950582080166,960
2025-02-23,persistence,12.711458333333333,19.478326630728148,0.22147407393963592,2.4302083333333333,960
2025-02-23,weekly_naive,17.320833333333333,26.997222079317716,0.30178406141672265,3.6958333333333333,960
2025-02-23,boosted_trees,10.303211901930675,14.939411865516131,0.17951475391301927,2.75346144728209,960
2025-02-24,persistence,11.139583333333333,16.394867082921614,0.19406235255689036,-0.12916666666666668,960
2025-02-24,weekly_naive,20.397916666666667,31.834140478423475,0.35535150437338947,-5.1625,960
2025-02-24,boosted_trees,10.007441916749963,15.36749573185552,0.17433935034442646,-1.2918080907197274,960
2025-02-25,persistence,14.360416666666667,23.045200151007585,0.20069294823269085,-0.22916666666666666,960
2025-02-25,weekly_naive,12.321875,19.78791192453952,0.17220345891806907,-0.37395833333333334,960
2025-02-25,boosted_trees,9.21748183478467,14.569678304194252,0.12881824028115765,0.6929101347062898,960
2025-02-26,persistence,14.747916666666667,22.926603906088374,0.18480374880891778,-0.30416666666666664,960
2025-02-26,weekly_naive,11.445833333333333,17.612081554054495,0.14342587879025206,-1.95625,960
2025-02-26,boosted_trees,9.207734243848794,14.244113451087467,0.11538062254891389,0.6790389984691744,960
2025-02-27,persistence,14.953125,22.618277085873128,0.16862841838173104,-0.6760416666666667,960
2025-02-27,weekly_naive,13.886458333333334,21.177843177874998,0.15659947373367164,0.057291666666666664,960
2025-02-27,boosted_trees,10.480163464145098,15.704254328823094,0.11818622457451478,0.8739535399171778,960
2025-02-28,persistence,15.298958333333333,24.54118562063917,0.17814948691201088,-1.0177083333333334,960
2025-02-28,weekly_naive,13.923958333333333,20.522370923782987,0.16213823051357318,-6.382291666666666,960
2025-02-28,boosted_trees,10.826566811033265,16.39612968583012,0.12607049972819598,-0.0729448938044237,960
