zone_id,model,mae,rmse,wape,bias,rows,LocationID,Zone
48,persistence,13.575892857142858,19.5129306944322,0.21111702496933793,0.00744047619047619,672,48,Clinton East
48,weekly_naive,14.132440476190476,20.60328943917174,0.21977182792215305,1.0044642857142858,672,48,Clinton East
48,boosted_trees,10.277112361783027,14.532094331674,0.15981809888501594,1.4611298961007957,672,48,Clinton East
68,persistence,14.026785714285714,19.17021188744464,0.1960441754539215,0.047619047619047616,672,68,East Chelsea
68,weekly_naive,14.09672619047619,19.788351852734454,0.19702169256047086,2.013392857142857,672,68,East Chelsea
68,boosted_trees,10.31437438102929,14.683882208520833,0.14415797475201605,2.046450371892254,672,68,East Chelsea
79,persistence,14.224702380952381,22.856468554041868,0.20562737969754985,-0.022321428571428572,672,79,East Village
79,weekly_naive,20.19345238095238,33.353758623065474,0.29190956611525803,5.220238095238095,672,79,East Village
79,boosted_trees,11.84616084481804,18.14749780918594,0.17124400558688932,4.093406755653383,672,79,East Village
107,persistence,10.625,14.768148641103064,0.20497215364299248,0.01488095238095238,672,107,Gramercy
107,weekly_naive,13.037202380952381,19.238052878901975,0.2515071481885514,3.8169642857142856,672,107,Gramercy
107,boosted_trees,8.721929339842124,12.337506633290669,0.16825907206677118,2.5914546209187295,672,107,Gramercy
140,persistence,9.267857142857142,12.843378875996027,0.18155317164179105,-0.017857142857142856,672,140,Lenox Hill East
140,weekly_naive,11.375,17.950576990328592,0.2228311567164179,1.193452380952381,672,140,Lenox Hill East
140,boosted_trees,7.5066435385617964,10.570356367330794,0.14705178573675162,1.6908277345188725,672,140,Lenox Hill East
141,persistence,10.141369047619047,14.206020269757532,0.18028623581386735,-0.01636904761904762,672,141,Lenox Hill West
141,weekly_naive,11.592261904761905,17.828381600027257,0.20607920425385573,2.7857142857142856,672,141,Lenox Hill West
141,boosted_trees,7.4260556382526355,10.58442588922374,0.13201527443469144,1.8031402275402217,672,141,Lenox Hill West
142,persistence,19.232142857142858,38.83968116930588,0.25306937672560653,-0.005952380952380952,672,142,Lincoln Square East
142,weekly_naive,17.802083333333332,32.408502154600754,0.2342516986821751,1.849702380952381,672,142,Lincoln Square East
142,boosted_trees,13.19389404720259,23.38686696953046,0.17361406723687836,1.5795956967836864,672,142,Lincoln Square East
161,persistence,17.479166666666668,25.99450491381372,0.14833055513461635,0.050595238095238096,672,161,Midtown Center
161,weekly_naive,23.47172619047619,39.07541929214763,0.19918421983128756,1.9568452380952381,672,161,Midtown Center
161,boosted_trees,13.514422720733142,20.29311253380343,0.1146852056919315,2.300254020024109,672,161,Midtown Center
162,persistence,15.299107142857142,21.77854585420729,0.1858493465174714,-0.010416666666666666,672,162,Midtown East
162,weekly_naive,14.834821428571429,22.142093880854436,0.18020933133281514,1.337797619047619,672,162,Midtown East
162,boosted_trees,10.7667286997376,15.723264700821453,0.13079125953512657,1.1942285247062299,672,162,Midtown East
163,persistence,13.172619047619047,19.784629074588373,0.19064848915595184,0.017857142857142856,672,163,Midtown North
163,weekly_naive,15.233630952380953,23.87333265182643,0.22047769808963838,2.1979166666666665,672,163,Midtown North
163,boosted_trees,10.130307778785763,15.579262943894033,0.14661684709233128,1.344512535001287,672,163,Midtown North
164,persistence,10.199404761904763,14.282961044211953,0.17847563992396429,0.020833333333333332,672,164,Midtown South
164,weekly_naive,11.988095238095237,17.89711003539531,0.20977527797307502,1.7529761904761905,672,164,Midtown South
164,boosted_trees,8.28275463804118,11.791147844720085,0.14493688297173848,1.9752434895259268,672,164,Midtown South
170,persistence,12.81547619047619,17.438668035636862,0.18122514256854863,-0.008928571428571428,672,170,Murray Hill
170,weekly_naive,13.550595238095237,19.48167637257416,0.19162054670566697,2.1398809523809526,672,170,Murray Hill
170,boosted_trees,9.643340601520146,13.429281794245407,0.13636760346418506,1.747035346770279,672,170,Murray Hill
186,persistence,23.53720238095238,31.57042863639508,0.2811011587403142,0.03720238095238095,672,186,Penn Station/Madison Sq West
186,weekly_naive,24.854166666666668,37.6852171977036,0.2968294590175588,0.5416666666666666,672,186,Penn Station/Madison Sq West
186,boosted_trees,18.11971190305446,25.372557902498446,0.21640090991065253,0.720847279355407,672,186,Penn Station/Madison Sq West
230,persistence,19.44345238095238,31.169563145265073,0.2232397614857592,0.041666666666666664,672,230,Times Sq/Theatre District
230,weekly_naive,20.125,30.789705298702557,0.23106494216542228,0.5625,672,230,Times Sq/Theatre District
230,boosted_trees,14.078973516547379,22.170175911834455,0.16164756279997672,0.7405364959379712,672,230,Times Sq/Theatre District
234,persistence,12.254464285714286,17.19647492947319,0.167958392820722,0.049107142857142856,672,234,Union Sq
234,weekly_naive,14.556547619047619,20.54336296483032,0.1995105037732001,4.258928571428571,672,234,Union Sq
234,boosted_trees,9.607965019767056,13.78689285183375,0.13168575348324416,3.2779468462236174,672,234,Union Sq
236,persistence,17.891369047619047,26.802490777999754,0.17263759458954955,-0.004464285714285714,672,236,Upper East Side North
236,weekly_naive,21.796130952380953,34.566425872789445,0.2103154660195569,4.191964285714286,672,236,Upper East Side North
236,boosted_trees,13.267240100054675,19.624358745856924,0.1280183987943762,2.321409123853499,672,236,Upper East Side North
237,persistence,16.976190476190474,24.128808606350724,0.15337662512268246,-0.023809523809523808,672,237,Upper East Side South
237,weekly_naive,20.43452380952381,30.76678790668987,0.18462200352249963,2.3035714285714284,672,237,Upper East Side South
237,boosted_trees,12.844560831523175,18.423120597787687,0.11604814368011904,2.243906924719486,672,237,Upper East Side South
238,persistence,11.03125,15.337619095668321,0.22447311046511628,0.001488095238095238,672,238,Upper West Side North
238,weekly_naive,11.854166666666666,18.278353708299726,0.24121850775193798,2.4910714285714284,672,238,Upper West Side North
238,boosted_trees,8.01329508283279,11.475384605878018,0.16306123715066725,1.696212300835111,672,238,Upper West Side North
239,persistence,12.517857142857142,17.61104226114427,0.1818928795381322,0.005952380952380952,672,239,Upper West Side South
239,weekly_naive,13.602678571428571,20.551510487877366,0.19765606417713583,2.8526785714285716,672,239,Upper West Side South
239,boosted_trees,9.341345374389297,13.30846270160812,0.13573602810105753,1.9596169052152912,672,239,Upper West Side South
